,RegionID,City,State,Metro,CountyName,SizeRank,2007-01,2008-01,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,LAT,LNG,Apperciation,Scale,Color
5154,95054,Santa Clara,CA,San Jose,Santa Clara,5161,714100,703300,620200,581200,585800,552100,640000,749500,853900,977000,1021300,37.393491,-121.96467,84.98460424,16,yellow
5233,94024,Los Altos,CA,San Jose,Santa Clara,5241,1568300,1661600,1581300,1499700,1462400,1575900,1902400,2043400,2425300,2714900,2772600,37.352234,-122.094399,75.93755949,13,red
5340,94089,Sunnyvale,CA,San Jose,Santa Clara,5348,674200,622400,520900,458300,429700,441500,534200,644800,736400,883700,988900,37.412402,-122.015605,123.98641,26,green
5346,95133,San Jose,CA,San Jose,Santa Clara,5354,626800,590200,462900,410700,392400,359100,449000,534500,618800,679400,726600,37.371606,-121.860844,102.3391813,21,green
5592,94301,Palo Alto,CA,San Jose,Santa Clara,5600,1491000,1545400,1599600,1539700,1615500,1729800,2084500,2421400,2861600,3307900,3417800,37.444123,-122.149911,97.58353567,19,yellow
5840,94022,Los Altos,CA,San Jose,Santa Clara,5849,1968700,2024500,1821800,1759300,1790600,1855900,2274100,2504700,3028000,3394000,3490000,37.357489,-122.144437,88.04892505,17,yellow
5973,95135,San Jose,CA,San Jose,Santa Clara,5982,853200,821500,693500,689100,667000,622000,753900,859100,956000,1008800,1070900,37.284529,-121.658321,72.17041801,12,red
6249,94041,Mountain View,CA,San Jose,Santa Clara,6258,888300,907300,852100,808500,808800,845200,988000,1139100,1330800,1594200,1653000,37.38852,-122.075726,95.57501183,19,yellow
6488,95110,San Jose,CA,San Jose,Santa Clara,6497,549700,520700,401400,339700,333100,313600,366700,444700,528400,593700,642400,37.346512,-121.909803,104.8469388,21,green
6895,95138,San Jose,CA,San Jose,Santa Clara,6904,907100,868500,728700,719700,726300,668000,735900,833900,912200,1001700,1091000,37.246623,-121.733833,63.32335329,8,red
7328,95030,Los Gatos,CA,San Jose,Santa Clara,7337,1607200,1790000,1651200,1524000,1534900,1466100,1824700,1894700,2134900,2213800,2376100,37.222759,-121.983272,62.06943592,8,red
7731,95130,San Jose,CA,San Jose,Santa Clara,7740,761300,750600,696000,665100,675500,647200,734400,882700,985500,1148900,1221700,37.277121,-121.986133,88.76699629,17,yellow
8060,94305,Stanford,CA,San Jose,Santa Clara,8069,1835500,1855000,1810100,1572900,1664400,1675400,2027000,2450100,2849800,3123100,2860500,37.418256,-122.170871,70.73534678,11,red
9065,95033,Lexington Hills,CA,San Jose,Santa Clara,9076,959500,915200,885900,733100,745700,710800,765100,839700,955900,952400,1041600,37.160846,-121.983966,46.53911086,1,red
9521,95119,San Jose,CA,San Jose,Santa Clara,9532,686300,643500,527600,504000,489800,457100,546100,646500,711100,768000,812300,37.230327,-121.785227,77.70728506,13,red
10412,95046,San Martin,CA,San Jose,Santa Clara,10424,1064500,1025700,807000,704000,596500,600000,650700,843800,870700,896700,949900,37.099308,-121.59924,58.31666667,7,red
10777,95139,San Jose,CA,San Jose,Santa Clara,10789,676100,627400,508600,474400,449600,431300,523600,629800,659100,715800,787100,37.224914,-121.764075,82.49478321,15,yellow
