,address,city,district,districtId,districtNCESId,enrollment,fax,gradeRange,gsId,gsRating,colorRating,lat,lon,name,ncesId,overviewLink,parentRating,phone,ratingsLink,reviewsLink,schoolStatsLink,state,type,website
0,"660 Sinclair Drive, 
San Jose, CA  95116",San Jose,,,,221,,12-Sep,27108,4,yellow,37.349842,-121.84126,Ace Charter High,61182013023,https://www.greatschools.org/california/san-jose/27108-Ace-Charter-High/?s_cid=gsapi,,(408) 251-1362,https://www.greatschools.org/school/rating.page?state=CA&id=27108&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=27108&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/27108,CA,charter,
1,"625 South Sunset Avenue, 
San Jose, CA  95116",San Jose,Santa Clara County Office Of Education,1116,691035,404,(408) 729-3952,8-May,24681,2,red,37.347088,-121.84498,Ace Charter School,69103512198,https://www.greatschools.org/california/san-jose/24681-Ace-Charter-School/?s_cid=gsapi,5,(408) 729-3920,https://www.greatschools.org/school/rating.page?state=CA&id=24681&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=24681&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/24681,CA,charter,www.acecharter.org
2,"1665 Santee Drive, 
San Jose, CA  95122",San Jose,Franklin-Mckinley Elementary School District,634,614370,149,,8-May,32222,2,red,37.328014,-121.84532,Ace Franklin Mckinley,61437013740,https://www.greatschools.org/california/san-jose/32222-Ace-Franklin-Mckinley/?s_cid=gsapi,,(408) 729-3420,https://www.greatschools.org/school/rating.page?state=CA&id=32222&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32222&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32222,CA,charter,www.acecharter.org
3,"110 East Hedding Street, 
San Jose, CA  95112",San Jose,San Jose Unified School District,655,634590,,,8-May,32226,4,yellow,37.35427,-121.90084,Ace Inspire Academy,,https://www.greatschools.org/california/san-jose/32226-Ace-Inspire-Academy/?s_cid=gsapi,,(408) 396-9726,https://www.greatschools.org/school/rating.page?state=CA&id=32226&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32226&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32226,CA,charter,www.acecharter.org
4,"1601 Cunningham Avenue, 
San Jose, CA  95122",San Jose,Alum Rock Union Elementary School District,625,602310,468,(408) 780-0831,8-Jun,27106,5,yellow,37.32657,-121.83506,Alpha: Blanca Alvarado Middle School,60231012989,https://www.greatschools.org/california/san-jose/27106-Alpha:-Blanca-Alvarado-Middle-School/?s_cid=gsapi,,(408) 780-0831,https://www.greatschools.org/school/rating.page?state=CA&id=27106&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=27106&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/27106,CA,charter,www.alphapublicschools.org
5,"1601 Cunningham Avenue, 
San Jose, CA  95122",San Jose,Santa Clara County Office Of Education,1116,691035,168,,8-Jun,31196,4,yellow,37.32657,-121.83506,Alpha: Jose Hernandez Middle,69103513757,https://www.greatschools.org/california/san-jose/31196-Alpha:-Jose-Hernandez-Middle/?s_cid=gsapi,5,(408) 780-0831,https://www.greatschools.org/school/rating.page?state=CA&id=31196&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31196&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31196,CA,charter,www.alphapublicschools.org
6,"2475 Van Winkle Lane, 
San Jose, CA  95116",San Jose,Alum Rock Union Elementary School District,625,602310,427,(408) 928-7651,K-8,5374,3,red,37.349926,-121.83138,Aptitud Community Academy At Goss,60231000106,https://www.greatschools.org/california/san-jose/5374-Aptitud-Community-Academy-At-Goss/?s_cid=gsapi,4,(408) 928-7656,https://www.greatschools.org/school/rating.page?state=CA&id=5374&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5374&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5374,CA,charter,www.arusd.org/gosses
7,"1970 Willow Street, 
San Jose, CA  95125",San Jose,Campbell Union,629,607200,554,(408) 341-7110,K-5,5410,3,red,37.298912,-121.92181,Blackford Elementary School,60720000657,https://www.greatschools.org/california/san-jose/5410-Blackford-Elementary-School/?s_cid=gsapi,3,(408) 978-4675,https://www.greatschools.org/school/rating.page?state=CA&id=5410&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5410&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5410,CA,charter,http://blackford.campbellusd.org/
8,"1702 Mclaughlin Avenue, 
San Jose, CA  95122",San Jose,Franklin-Mckinley Elementary School District,634,614370,597,(408) 283-6419,8-Jul,5483,3,red,37.32544,-121.84649,Bridges Academy,61437001643,https://www.greatschools.org/california/san-jose/5483-Bridges-Academy/?s_cid=gsapi,4,(408) 283-6400,https://www.greatschools.org/school/rating.page?state=CA&id=5483&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5483&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5483,CA,charter,http://www.fmsd.org/Bridges/
9,"1598 Lucretia Avenue, 
San Jose, CA  95122",San Jose,Franklin-Mckinley Elementary School District,634,614370,412,,K-6,25268,8,green,37.32563,-121.853035,Cornerstone Academy Preparatory School,61437012639,https://www.greatschools.org/california/san-jose/25268-Cornerstone-Academy-Preparatory-School/?s_cid=gsapi,5,(408) 361-3829,https://www.greatschools.org/school/rating.page?state=CA&id=25268&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25268&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/25268,CA,charter,www.cornerstoneacademysj.org
